"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.474160105E2,6.496237884E1,2.537789313E1,-1.200603363E0,1.388222059E0,3.190917969E2,4.748651468E0,4.334422582E0
1.484159907E2,6.496238983E1,2.537786963E1,-1.380870038E0,1.653558703E0,3.190917969E2,4.748651466E0,4.195623418E0
1.494159716E2,6.496240396E1,2.537786574E1,-4.072494386E-1,1.383433411E0,3.190917969E2,4.748651448E0,4.197182734E0
1.504159521E2,6.496242135E1,2.537785485E1,-1.466605055E0,1.504703801E0,3.190917969E2,4.748651433E0,3.731543602E0
1.514159344E2,6.496242934E1,2.537780962E1,-1.781025079E0,1.574657517E0,3.190917969E2,4.748651461E0,3.380420652E0
1.524159162E2,6.496245218E1,2.537781266E1,-1.567969959E0,1.793110190E0,3.190917969E2,4.748651416E0,3.266546432E0
1.534158978E2,6.496245693E1,2.537781682E1,-2.488964235E0,1.397597879E0,3.190917969E2,4.748651408E0,3.630513406E0
1.544158808E2,6.496246666E1,2.537775819E1,-2.257583420E0,1.522208812E0,3.185320435E2,4.748651404E0,3.757476545E0
1.554158627E2,6.496247297E1,2.537771272E1,-9.333554804E-1,1.629443056E0,3.185320435E2,4.748651420E0,4.125276110E0
1.564158462E2,6.496248589E1,2.537769742E1,-1.329032794E0,1.440872017E0,3.185320435E2,4.748651422E0,4.714070271E0
1.574158297E2,6.496249907E1,2.537767213E1,-1.754478964E0,1.578620205E0,3.185320435E2,4.748651386E0,4.915723435E0
1.584158127E2,6.496250844E1,2.537764154E1,-1.827756343E0,1.427223990E0,3.185320435E2,4.748651367E0,5.154990060E0
1.594157957E2,6.496251774E1,2.537762136E1,-1.795525651E0,1.428789365E0,3.185320435E2,4.748651345E0,5.401453163E0
1.604157807E2,6.496253086E1,2.537759721E1,-8.836627426E-1,1.526215020E0,3.185320435E2,4.748651331E0,5.406592090E0
1.614157647E2,6.496254224E1,2.537758101E1,-1.368460640E0,1.398766013E0,3.185320435E2,4.748651310E0,5.913963411E0
1.624157485E2,6.496255408E1,2.537755411E1,-1.815924879E0,1.545467547E0,3.183393860E2,4.748651284E0,5.566480256E0
1.634157335E2,6.496256125E1,2.537752792E1,-2.633555713E0,1.418950827E0,3.183393860E2,4.748651321E0,5.754789634E0
1.644157172E2,6.496257227E1,2.537750696E1,-2.008288649E0,1.417719293E0,3.183393860E2,4.748651329E0,5.727940059E0
